Training: epoch: 1 | train loss: 1.647 | lr: 0.000 | acc: 0.995 | miou: 0.877 | mdice: 0.930
Training: epoch: 2 | train loss: 1.117 | lr: 0.000 | acc: 0.959 | miou: 0.620 | mdice: 0.709
Training: epoch: 3 | train loss: 1.032 | lr: 0.000 | acc: 0.973 | miou: 0.802 | mdice: 0.880
Training: epoch: 4 | train loss: 0.906 | lr: 0.000 | acc: 0.960 | miou: 0.744 | mdice: 0.835
Training: epoch: 5 | train loss: 0.851 | lr: 0.000 | acc: 0.982 | miou: 0.882 | mdice: 0.935
Training: epoch: 6 | train loss: 0.771 | lr: 0.000 | acc: 0.981 | miou: 0.814 | mdice: 0.888
Training: epoch: 7 | train loss: 0.727 | lr: 0.000 | acc: 0.985 | miou: 0.813 | mdice: 0.887
Training: epoch: 8 | train loss: 0.680 | lr: 0.000 | acc: 0.981 | miou: 0.873 | mdice: 0.929
Training: epoch: 9 | train loss: 0.632 | lr: 0.000 | acc: 0.914 | miou: 0.687 | mdice: 0.794
Training: epoch: 10 | train loss: 0.566 | lr: 0.000 | acc: 0.987 | miou: 0.877 | mdice: 0.931
Training: epoch: 11 | train loss: 0.550 | lr: 0.000 | acc: 0.991 | miou: 0.909 | mdice: 0.951
Training: epoch: 12 | train loss: 0.527 | lr: 0.000 | acc: 0.980 | miou: 0.893 | mdice: 0.941
Training: epoch: 13 | train loss: 0.374 | lr: 0.000 | acc: 0.997 | miou: 0.942 | mdice: 0.969
Training: epoch: 14 | train loss: 0.332 | lr: 0.000 | acc: 0.991 | miou: 0.853 | mdice: 0.915
Training: epoch: 15 | train loss: 0.306 | lr: 0.000 | acc: 0.996 | miou: 0.964 | mdice: 0.982
Training: epoch: 16 | train loss: 0.289 | lr: 0.000 | acc: 0.989 | miou: 0.949 | mdice: 0.973
Training: epoch: 17 | train loss: 0.278 | lr: 0.000 | acc: 0.999 | miou: 0.939 | mdice: 0.967
Training: epoch: 18 | train loss: 0.266 | lr: 0.000 | acc: 0.983 | miou: 0.880 | mdice: 0.933
Training: epoch: 19 | train loss: 0.253 | lr: 0.000 | acc: 0.992 | miou: 0.945 | mdice: 0.971
Training: epoch: 20 | train loss: 0.240 | lr: 0.000 | acc: 0.998 | miou: 0.972 | mdice: 0.986
